Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
18,US-2019-135405,2019-01-09,2019-01-13,Standard Class,MS-17830,Melanie Seite,Replacement,,Laredo,Texas,78041,Central,TEC-AC-10001266,Pre Book,Accessories,31.2,3,0.2,9.75
19,US-2019-149020,2019-01-10,2019-01-15,Standard Class,AJ-10780,Anthony Jacobs,Servicing ,,Springfield,Virginia,22153,South,FUR-FU-10000965,direct sale,Furnishings,51.94,1,0.0,21.2954
20,US-2019-149020,2019-01-10,2019-01-15,Standard Class,AJ-10780,Anthony Jacobs,Servicing,,Springfield,Virginia,22153,South,OFF-LA-10004272,THIRD PARTY,Labels,2.89,1,0.0,1.3583
21,US-2019-130092,2019-01-11,2019-01-14,First Class,SV-20365,Seth Vernon,Replacement,,Dover,Delaware,,East,FUR-FU-10000010,Direct Sale,Furnishings,9.94,2,0.0,3.0814
22,US-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,Brian Dahlen,Replacement ,,San Francisco,California,94109,West,FUR-BO-10003034,Direct Sale,Bookcases,333.999,3,0.15,3.9294
23,US-2019-109232,2019-01-13,2019-01-16,Second Class,ND-18370,Natalie DeCherney,Replacement ,,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,DIRECT SALE,Chairs,545.94,6,0.0,87.3504
24,US-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,Brian Dahlen,Replacement,,San Francisco,California,94109,West,OFF-AR-10003514,THIRD PARTY,Art,19.9,5,0.0,6.567
25,US-2019-118192,2019-01-13,2019-01-18,Standard Class,MM-17920,Michael Moore,Replacement ,,Newark,Ohio,43055,East,OFF-BI-10003476,Third Party,Binders,3.438,2,0.7,-2.5212
26,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Servicing ,,Bossier City,Louisiana,71111,South,OFF-BI-10004187,THIRD PARTY,Binders,5.64,3,0.0,2.7072
27,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Servicing ,,Bossier City,Louisiana,71111,South,OFF-EN-10001532,third party,Envelopes,50.94,3,0.0,25.47
28,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Servicing ,,Bossier City,Louisiana,,South,OFF-EN-10001990,third party,Envelopes,11.36,2,0.0,5.3392
29,US-2019-118192,2019-01-13,2019-01-18,Standard Class,MM-17920,Michael Moore,Replacement,,Newark,Ohio,43055,East,OFF-PA-10002947,third party,Paper,37.408,7,0.2,13.0928
30,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Servicing ,,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Third Party,Storage,572.58,6,0.0,34.3548
31,US-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,Brian Dahlen,Replacement ,,San Francisco,California,,West,OFF-ST-10000078,Third Party,Storage,1325.85,5,0.0,238.653
32,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Servicing ,,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Pre Book,Accessories,646.74,6,0.0,258.696
33,US-2019-149524,2019-01-14,2019-01-15,First Class,BS-11590,Brendan Sweed,Servicing,United States,Philadelphia,Pennsylvania,,East,FUR-BO-10003433,direct sale,Bookcases,,4,0.5,-53.2856
34,US-2019-103366,2019-01-15,2019-01-17,First Class,EH-13990,Erica Hackney,Replacement ,,Roswell,Georgia,30076,South,TEC-AC-10003628,Pre Book,Accessories,149.95,5,0.0,65.978
35,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Replacement,,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Direct Sale,Furnishings,127.104,6,0.2,28.5984
36,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Replacement ,,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Third Party,Binders,18.588,2,0.7,-13.6312
37,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Replacement ,,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Third Party,Labels,30.072,3,0.2,10.1493
38,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Replacement,,Philadelphia,Pennsylvania,,East,TEC-PH-10004614,PRE BOOK,Phones,124.2,3,0.4,-31.05
39,US-2019-123477,2019-01-18,2019-01-21,Second Class,DW-13195,David Wiener,Servicing ,,Springfield,Oregon,97477,West,OFF-AP-10000692,Third Party,Appliances,,4,0.2,6.4864
40,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Replacement,,Scottsdale,Arizona,,West,FUR-BO-10001972,Direct Sale,Bookcases,181.47,5,0.7,-320.597
41,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Replacement,,Scottsdale,Arizona,85254,West,OFF-BI-10003676,third party,Binders,32.34,10,0.7,-23.716
42,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Replacement ,,Scottsdale,Arizona,85254,West,OFF-EN-10002504,THIRD PARTY,Envelopes,108.72,5,0.2,36.693
43,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Replacement,,Scottsdale,Arizona,,West,OFF-PA-10000659,Third Party,Paper,56.064,4,0.2,19.6224
44,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Replacement ,,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Other,Chairs,,3,0.0,224.2674
45,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Other,Furnishings,,3,0.0,4.8609
46,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement ,,Westland,Michigan,48185,Central,FUR-FU-10002918,OTHER,Furnishings,,3,0.0,30.0234
47,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Replacement ,,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,OTHER,Furnishings,38.6,4,0.0,11.58
48,US-2019-148614,2019-01-20,2019-01-25,Standard Class,MV-17485,Mark Van Huff,Replacement,,Los Angeles,California,90049,West,FUR-FU-10003194,Other,Furnishings,19.3,2,0.0,5.79
49,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement,,Westland,Michigan,48185,Central,OFF-AP-10002311,Third Party,Appliances,247.716,4,0.1,93.5816
50,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Replacement ,,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Third Party,Art,22.96,7,0.0,6.6584
51,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Replacement,,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,THIRD PARTY,Art,6.63,3,0.0,1.7901
52,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement ,,Westland,Michigan,48185,Central,OFF-AR-10004456,THIRD PARTY,Art,43.92,3,0.0,12.7368
53,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement,,Westland,Michigan,48185,Central,OFF-BI-10000605,Third Party,Binders,19.05,5,0.0,8.9535
54,US-2019-147774,2019-01-20,2019-01-26,Standard Class,MM-18280,Muhammed MacIntyre,Servicing,,Smyrna,Tennessee,37167,South,OFF-BI-10003091,THIRD PARTY,Binders,67.194,1,0.7,-51.5154
55,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement,,Westland,Michigan,,Central,OFF-BI-10004364,Third Party,Binders,29.7,5,0.0,13.365
56,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Replacement ,,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,third party,Envelopes,23.34,3,0.0,10.9698
57,US-2019-148614,2019-01-20,2019-01-25,Standard Class,MV-17485,Mark Van Huff,Replacement,,Los Angeles,California,90049,West,OFF-PA-10002893,third party,Paper,19.36,2,0.0,9.2928
58,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement ,,Westland,Michigan,48185,Central,OFF-ST-10000760,THIRD PARTY,Storage,13.98,1,0.0,4.0542
59,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Replacement,,Westland,Michigan,48185,Central,OFF-ST-10003123,Third Party,Storage,,2,0.0,15.9792
60,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Replacement ,,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Pre Book,Phones,699.93,7,0.0,181.9818
61,US-2019-110422,2019-01-21,2019-01-23,Second Class,TB-21400,Tom Boeckenhauer,Replacement ,,Miami,Florida,33180,South,FUR-FU-10001889,DIRECT SALE,Furnishings,25.248,3,0.2,4.1028
62,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Servicing,,Toronto,Ontario,M7A,East,FUR-FU-10001025,Direct Sale,Furnishings,24.3,5,0.0,10.45
63,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Servicing,,Toronto,Ontario,,East,FUR-FU-10002445,direct sale,Furnishings,9.48,1,0.0,3.79
64,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Servicing,,Toronto,Ontario,M7A,East,FUR-FU-10002960,Direct Sale,Furnishings,31.4,5,0.0,13.19
65,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Servicing,,Toronto,Ontario,M7A,East,OFF-PA-10002689,Third Party,Paper,6.48,1,0.0,3.11
66,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Servicing,,Toronto,Ontario,M7A,East,TEC-PH-10001300,Pre Book,Phones,209.5,10,0.0,58.66
67,US-2019-146997,2019-01-23,2019-01-27,Standard Class,SG-20605,Speros Goranitis,Replacement,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,THIRD PARTY,Fasteners,5.94,3,0.0,0.0
68,US-2019-102645,2019-01-23,2019-01-28,Standard Class,IM-15055,Ionia McGrath,Replacement,,Las Vegas,Nevada,,West,OFF-PA-10001804,Third Party,Paper,40.08,6,0.0,19.2384
69,US-2019-167997,2019-01-26,2019-01-29,First Class,CA-11965,Carol Adams,Servicing,,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Direct Sale,Bookcases,141.96,2,0.0,39.7488
70,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other ,,Alexandria,Virginia,22304,South,FUR-FU-10001847,DIRECT SALE,Furnishings,12.42,3,0.0,4.4712
71,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other,,Alexandria,Virginia,22304,South,FUR-FU-10004587,Direct Sale,Furnishings,62.82,3,0.0,30.7818
72,US-2019-167997,2019-01-26,2019-01-29,First Class,CA-11965,Carol Adams,Servicing,,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Third Party,Binders,10.68,2,0.0,5.0196
73,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other,,Alexandria,Virginia,,South,OFF-PA-10000380,THIRD PARTY,Paper,16.68,2,0.0,8.34
74,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other ,,Alexandria,Virginia,22304,South,OFF-PA-10003072,third party,Paper,19.44,3,0.0,9.3312
75,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other ,,Alexandria,Virginia,22304,South,OFF-ST-10004337,Third Party,Storage,489.92,8,0.0,0.0
76,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other,,Alexandria,Virginia,22304,South,TEC-PH-10002103,Pre Book,Phones,187.98,2,0.0,52.6344
77,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Other,,Alexandria,Virginia,22304,South,TEC-PH-10004833,Pre Book,Phones,155.35,13,0.0,0.0
78,US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,Ed Jacobs,Replacement,,San Diego,California,92037,West,FUR-TA-10003469,Direct Sale,Tables,333.0,3,0.2,-16.65
79,US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,Ed Jacobs,Replacement,,San Diego,California,92037,West,OFF-AR-10003179,Third Party,Art,36.44,4,0.0,12.0252
80,US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,Ed Jacobs,Replacement,,San Diego,California,92037,West,OFF-ST-10003692,Third Party,Storage,57.23,1,0.0,14.3075
81,US-2019-100328,2019-01-28,2019-02-03,Standard Class,JC-15340,Jasper Cacioppo,Replacement ,,New York City,New York,10024,East,OFF-BI-10000343,THIRD PARTY,Binders,3.928,1,0.2,1.3257
82,US-2019-134103,2019-01-30,2019-02-04,Standard Class,MV-18190,Mike Vittorini,Replacement,,Detroit,Michigan,,Central,OFF-PA-10001204,Third Party,Paper,10.56,2,0.0,4.752
83,US-2019-134103,2019-01-30,2019-02-04,Standard Class,MV-18190,Mike Vittorini,Replacement,,Detroit,Michigan,48234,Central,OFF-ST-10000991,Third Party,Storage,,2,0.0,6.8982
84,US-2019-115161,2019-01-31,2019-02-02,First Class,LC-17050,Liz Carlisle,Replacement,,Mission Viejo,California,92691,West,FUR-BO-10003966,Direct Sale,Bookcases,290.666,2,0.15,3.4196
85,US-2019-140795,2019-02-01,2019-02-03,First Class,BD-11500,Bradley Drucker,Replacement ,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,PRE BOOK,Accessories,468.9,6,0.0,206.316
86,US-2019-123400,2019-02-02,2019-02-09,Standard Class,EB-13930,Eric Barreto,Replacement ,,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Third Party,Binders,18.336,2,0.7,-12.224
87,US-2019-139857,2019-02-02,2019-02-06,Standard Class,CD-12790,Cynthia Delaney,Other ,,San Diego,California,92037,West,OFF-FA-10001843,Third Party,Fasteners,12.35,5,0.0,5.8045
88,US-2019-123400,2019-02-02,2019-02-09,Standard Class,EB-13930,Eric Barreto,Replacement,,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Pre Book,Phones,180.96,5,0.2,13.572
89,US-2019-111059,2019-02-03,2019-02-06,Second Class,TB-21400,Tom Boeckenhauer,Replacement ,,Seattle,Washington,98105,West,OFF-BI-10002827,Third Party,Binders,13.272,3,0.2,4.3134
90,US-2019-111059,2019-02-03,2019-02-06,Second Class,TB-21400,Tom Boeckenhauer,Replacement,,Seattle,Washington,98105,West,OFF-BI-10004593,Other,Binders,83.84,2,0.2,27.248
91,US-2019-104808,2019-02-04,2019-02-08,Second Class,MH-17440,Mark Haberlin,Servicing,,Escondido,California,92025,West,OFF-BI-10003676,Other,Binders,17.248,2,0.2,6.0368
92,US-2019-107181,2019-02-04,2019-02-08,Standard Class,DB-13270,Deborah Brumfield,Other,,San Diego,California,92024,West,OFF-BI-10004230,other,Binders,82.896,3,0.2,29.0136
93,US-2019-107181,2019-02-04,2019-02-08,Standard Class,DB-13270,Deborah Brumfield,Other,,San Diego,California,92024,West,OFF-PA-10000350,Other,Paper,34.24,4,0.0,16.0928
94,US-2019-108182,2019-02-06,2019-02-10,Second Class,DL-13315,Delfina Latchford,Replacement ,,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Other,Binders,8.952,2,0.8,-14.7708
95,US-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,Neil Ducich,Servicing ,,Chesapeake,Virginia,,South,OFF-LA-10002787,Third Party,Labels,15.0,4,0.0,7.2
96,US-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,Neil Ducich,Servicing,,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Pre Book,Phones,144.95,5,0.0,42.0355
97,US-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,Neil Ducich,Servicing ,,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Pre Book,Phones,161.61,1,0.0,42.0186
98,US-2019-169390,2019-02-07,2019-02-10,Second Class,CS-12250,Chris Selesnick,Servicing ,,New York City,New York,10024,East,OFF-ST-10001558,Third Party,Storage,64.96,4,0.0,9.744
99,US-2019-107755,2019-02-07,2019-02-12,Standard Class,CK-12760,Cyma Kinney,Servicing,,Linden,New Jersey,7036,East,TEC-AC-10000710,Pre Book,Accessories,115.36,7,0.0,49.6048
100,US-2019-125759,2019-02-08,2019-02-09,First Class,NM-18445,Nathan Mautz,Other ,,North Las Vegas,Nevada,89031,West,FUR-FU-10002111,Other,Furnishings,,2,0.0,5.5328
101,US-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,Guy Armstrong,Replacement ,,Columbia,Missouri,65203,Central,FUR-CH-10001146,other,Chairs,60.89,1,0.0,15.2225
102,US-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,Guy Armstrong,Replacement ,,Columbia,Missouri,65203,Central,FUR-FU-10002298,OTHER,Furnishings,332.94,3,0.0,53.2704
103,US-2019-127614,2019-02-11,2019-02-15,Standard Class,NF-18385,Natalie Fritzler,Replacement,,Chesapeake,Virginia,23320,South,FUR-TA-10003715,OTHER,Tables,1256.22,6,0.0,75.3732
104,US-2019-127614,2019-02-11,2019-02-15,Standard Class,NF-18385,Natalie Fritzler,Replacement ,,Chesapeake,Virginia,,South,OFF-BI-10003291,OTHER,Binders,17.46,2,0.0,8.2062
105,US-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,Guy Armstrong,Replacement ,,Columbia,Missouri,65203,Central,OFF-BI-10004654,Third Party,Binders,51.9,3,0.0,24.393
106,US-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,Guy Armstrong,Replacement ,,Columbia,Missouri,65203,Central,OFF-BI-10004728,THIRD PARTY,Binders,9.64,2,0.0,4.4344
107,US-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,Guy Armstrong,Replacement ,,Columbia,Missouri,65203,Central,OFF-LA-10004853,Third Party,Labels,14.94,3,0.0,6.8724
108,US-2019-168368,2019-02-11,2019-02-15,Second Class,GA-14725,Guy Armstrong,Replacement,,Columbia,Missouri,65203,Central,OFF-ST-10002583,third party,Storage,64.96,2,0.0,2.5984
109,US-2019-127614,2019-02-11,2019-02-15,Standard Class,NF-18385,Natalie Fritzler,Replacement,,Chesapeake,Virginia,23320,South,TEC-AC-10001432,Pre Book,Accessories,,3,0.0,103.158
110,US-2019-110674,2019-02-12,2019-02-18,Standard Class,SC-20095,Sanjit Chand,Replacement ,,Concord,California,,West,FUR-CH-10000225,Direct Sale,Chairs,129.568,2,0.2,-24.294
111,US-2019-121762,2019-02-14,2019-02-18,Standard Class,ML-17395,Marina Lichtenstein,Servicing ,,Seattle,Washington,,West,OFF-AP-10001293,Third Party,Appliances,81.96,2,0.0,22.9488
112,US-2019-107706,2019-02-14,2019-02-19,Second Class,ST-20530,Shui Tom,Replacement,,Houston,Texas,77095,Central,OFF-PA-10000466,Third Party,Paper,16.176,3,0.2,6.066
113,US-2019-121762,2019-02-14,2019-02-18,Standard Class,ML-17395,Marina Lichtenstein,Servicing ,,Seattle,Washington,98103,West,OFF-SU-10000157,Third Party,Supplies,,2,0.0,4.7724
114,US-2019-121762,2019-02-14,2019-02-18,Standard Class,ML-17395,Marina Lichtenstein,Servicing ,,Seattle,Washington,98103,West,TEC-AC-10000736,Pre Book,Accessories,239.97,3,0.0,86.3892
115,US-2019-165568,2019-02-15,2019-02-19,Standard Class,BF-11020,Barry Französisch,Servicing ,,Seattle,Washington,,West,OFF-BI-10001031,Third Party,Binders,21.36,5,0.2,7.209
116,US-2019-122567,2019-02-16,2019-02-21,Standard Class,MN-17935,Michael Nguyen,Replacement ,,Dallas,Texas,75220,Central,OFF-AP-10001303,Third Party,Appliances,7.96,2,0.8,-13.93
117,US-2019-122567,2019-02-16,2019-02-21,Standard Class,MN-17935,Michael Nguyen,Replacement ,,Dallas,Texas,75220,Central,OFF-BI-10002012,THIRD PARTY,Binders,1.08,3,0.8,-1.728
118,US-2019-154165,2019-02-17,2019-02-24,Standard Class,DL-13315,Delfina Latchford,Replacement,,Chicago,Illinois,60653,Central,OFF-AR-10003631,Third Party,Art,54.208,14,0.2,8.8088
119,US-2019-165589,2019-02-18,2019-02-18,Same Day,TB-21595,Troy Blackwell,Replacement,,Lubbock,Texas,79424,Central,FUR-FU-10002396,direct sale,Furnishings,25.16,5,0.6,-11.322
120,US-2019-152905,2019-02-18,2019-02-24,Standard Class,AB-10015,Aaron Bergman,Replacement ,,Arlington,Texas,76017,Central,OFF-ST-10000321,THIRD PARTY,Storage,12.624,2,0.2,-2.5248
121,US-2019-109491,2019-02-20,2019-02-26,Standard Class,LC-16930,Linda Cazamias,Servicing,,Richmond,Indiana,,Central,FUR-FU-10000221,DIRECT SALE,Furnishings,20.32,4,0.0,6.9088
122,US-2019-164903,2019-02-20,2019-02-24,Standard Class,SR-20740,Steven Roelle,Other,,Los Angeles,California,90049,West,OFF-PA-10003363,Third Party,Paper,12.96,2,0.0,6.2208
123,US-2019-109491,2019-02-20,2019-02-26,Standard Class,LC-16930,Linda Cazamias,Servicing,,Richmond,Indiana,47374,Central,TEC-AC-10001284,Pre Book,Accessories,62.31,3,0.0,22.4316
124,US-2019-165540,2019-02-21,2019-02-25,Standard Class,TM-21010,Tamara Manning,Replacement,,Woodstock,Illinois,60098,Central,OFF-BI-10004094,Third Party,Binders,8.85,5,0.8,-13.7175
125,US-2019-133354,2019-02-22,2019-02-24,First Class,SA-20830,Sue Ann Reed,Replacement ,,Moreno Valley,California,92553,West,OFF-PA-10001800,Other,Paper,19.44,3,0.0,9.3312
126,US-2019-103744,2019-02-23,2019-02-27,Standard Class,MG-17875,Michael Grace,Other,,El Paso,Texas,79907,Central,OFF-BI-10000320,other,Binders,4.428,3,0.8,-6.8634
127,US-2019-103744,2019-02-23,2019-02-27,Standard Class,MG-17875,Michael Grace,Other ,,El Paso,Texas,79907,Central,OFF-LA-10004425,other,Labels,6.936,3,0.2,2.3409
128,US-2019-137680,2019-02-24,2019-03-02,Standard Class,JH-15430,Jennifer Halladay,Replacement ,,Medford,Oregon,,West,OFF-PA-10000069,Other,Paper,22.776,3,0.2,7.6869
129,US-2019-137680,2019-02-24,2019-03-02,Standard Class,JH-15430,Jennifer Halladay,Replacement ,,Medford,Oregon,97504,West,OFF-PA-10000174,Other,Paper,,4,0.2,11.1024
130,US-2019-156545,2019-02-27,2019-03-03,First Class,JS-16030,Joy Smith,Replacement,United States,Columbus,Ohio,43229,East,OFF-AR-10003560,Third Party,Art,,4,0.2,3.4048
131,US-2019-113880,2019-03-01,2019-03-05,Standard Class,VF-21715,Vicky Freymann,Other,,Elmhurst,Illinois,,Central,FUR-CH-10000863,Other,Chairs,,6,0.3,-172.1172
132,US-2019-131009,2019-03-01,2019-03-05,Standard Class,SC-20380,Shahid Collister,Replacement,,El Paso,Texas,79907,Central,FUR-CH-10001270,Other,Chairs,362.25,6,0.3,0.0
133,US-2019-104269,2019-03-01,2019-03-06,Second Class,DB-13060,Dave Brooks,Replacement,,Seattle,Washington,98115,West,FUR-CH-10004063,Other,Chairs,457.568,2,0.2,51.4764
134,US-2019-131009,2019-03-01,2019-03-05,Standard Class,SC-20380,Shahid Collister,Replacement ,United States,El Paso,Texas,79907,Central,FUR-FU-10001095,Other,Furnishings,63.552,6,0.6,-34.9536
135,US-2019-168312,2019-03-01,2019-03-07,Standard Class,GW-14605,Giulietta Weimer,Replacement ,,Houston,Texas,77036,Central,FUR-TA-10001866,Other,Tables,,3,0.3,-43.0296
136,US-2019-131009,2019-03-01,2019-03-05,Standard Class,SC-20380,Shahid Collister,Replacement,,El Paso,Texas,,Central,OFF-FA-10004395,THIRD PARTY,Fasteners,,5,0.2,-3.5325
